OBJECTID,MUSYM,MUKEY,SS_AREA,MUSYM_AREA,SLOPE,musym_1,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,Shape_Length,Shape_Area
188,421B,789699,HHEA,421B_HHEA,B,421B,"Canton fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,1154,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2682.96128,145565.43
189,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1357.570401,52519.39132
190,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,918.8029798,26772.66881
191,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,3490.595192,235308.372
192,386B,789743,HHEA,386B_HHEA,B,386B,"Essex gravelly fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,908,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1005.706011,35887.54523
193,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,751.0676379,26102.74417
194,315B,789876,HHEA,315B_HHEA,B,315B,"Scituate fine sandy loam, 3 to 8 percent slopes",Consociation,,1269,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,6092.019106,328281.0243
195,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1089.389606,38369.52793
196,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,814.574119,34157.75104
197,315B,789876,HHEA,315B_HHEA,B,315B,"Scituate fine sandy loam, 3 to 8 percent slopes",Consociation,,1269,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1437.399704,36208.98868
198,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,790.158463,33271.98681
199,421C,789700,HHEA,421C_HHEA,C,421C,"Canton fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,645,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,2105.438392,174902.8946
200,421B,789699,HHEA,421B_HHEA,B,421B,"Canton fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,1154,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,10677.41806,934674.155
201,421B,789699,HHEA,421B_HHEA,B,421B,"Canton fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,1154,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,3638.733183,168902.5932
202,260A,789903,HHEA,260A_HHEA,A,260A,"Sudbury fine sandy loam, 0 to 3 percent slopes",Consociation,,1182,,,,,,,All areas are prime farmland,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,2108.943236,64400.53747
203,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,900.063303,49404.2067
204,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,549.5975412,18338.88196
205,260A,789903,HHEA,260A_HHEA,A,260A,"Sudbury fine sandy loam, 0 to 3 percent slopes",Consociation,,1182,,,,,,,All areas are prime farmland,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,552.7041897,16229.95756
206,260B,789907,HHEA,260B_HHEA,B,260B,"Sudbury fine sandy loam, 3 to 8 percent slopes",Consociation,,586,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,520.3566984,8015.689134
207,254A,789799,HHEA,254A_HHEA,A,254A,"Merrimac sandy loam, 0 to 3 percent slopes",Consociation,,491,,,,,,,All areas are prime farmland,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,563.397013,15951.05409
208,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1701.334724,68249.03513
209,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,534.837014,7662.070596
210,440B,789763,HHEA,440B_HHEA,B,440B,"Gloucester gravelly fine sandy loam, 3 to 8 percent slopes",Consociation,,263,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,869.7673894,50822.7805
