OBJECTID,MUSYM,MUKEY,SS_AREA,MUSYM_AREA,SLOPE,musym_1,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,Shape_Length,Shape_Area
270,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,3150.364866,200306.7891
271,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1202.706314,41340.01347
272,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,444.8764261,14047.79412
273,256A,789738,HHEA,256A_HHEA,A,256A,Deerfield loamy fine sand,Consociation,,353,,,,,,,Farmland of statewide importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,2915.298802,126736.5194
274,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,770.4714036,24280.20302
275,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1267.847799,56291.016
276,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,425.933081,10820.87909
277,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1341.578309,41709.48682
278,254C,789809,HHEA,254C_HHEA,C,254C,"Merrimac sandy loam, 8 to 15 percent slopes",Consociation,,676,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1730.298709,91022.69149
279,441C,789768,HHEA,441C_HHEA,C,441C,"Gloucester gravelly fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,557,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1196.385696,40292.23955
280,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,2045.564894,139348.7776
281,306C,789834,HHEA,306C_HHEA,C,306C,"Paxton fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,509,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,2701.147937,175840.1485
282,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,948.5133827,23816.0445
283,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,10529.61615,823036.239
284,440B,789763,HHEA,440B_HHEA,B,440B,"Gloucester gravelly fine sandy loam, 3 to 8 percent slopes",Consociation,,263,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,898.2142335,33011.93548
285,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,523.4613672,14250.59856
286,260B,789907,HHEA,260B_HHEA,B,260B,"Sudbury fine sandy loam, 3 to 8 percent slopes",Consociation,,586,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,691.9566151,16969.78595
287,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,652.3365747,20846.36104
288,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1283.713998,50214.39887
289,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2151.47307,112691.4961
290,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1360.721337,75129.62681
291,421B,789699,HHEA,421B_HHEA,B,421B,"Canton fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,1154,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,416.5011206,5411.261829
292,441C,789768,HHEA,441C_HHEA,C,441C,"Gloucester gravelly fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,557,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1139.360143,48797.02048
293,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1194.063524,44653.02918
294,306B,789832,HHEA,306B_HHEA,B,306B,"Paxton fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,253,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1007.140863,53805.56349
295,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1157.41005,66378.44736
296,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,825.9685378,33526.4346
297,306C,789834,HHEA,306C_HHEA,C,306C,"Paxton fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,509,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1007.605921,42459.03285
298,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,2346.551737,169835.9382
299,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,771.4654528,32320.59613
300,260A,789903,HHEA,260A_HHEA,A,260A,"Sudbury fine sandy loam, 0 to 3 percent slopes",Consociation,,1182,,,,,,,All areas are prime farmland,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,809.0675251,30348.17044
301,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1393.418752,64378.72077
302,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,470.7114294,6659.093891
303,421C,789700,HHEA,421C_HHEA,C,421C,"Canton fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,645,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,664.8120272,14614.62849
304,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1078.000896,40340.27938
305,301B,789814,HHEA,301B_HHEA,B,301B,"Montauk fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,974,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1322.24519,67496.77119
306,254A,789799,HHEA,254A_HHEA,A,254A,"Merrimac sandy loam, 0 to 3 percent slopes",Consociation,,491,,,,,,,All areas are prime farmland,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,777.5240698,36963.3508
307,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,3081.949935,128832.9331
308,386B,789743,HHEA,386B_HHEA,B,386B,"Essex gravelly fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,908,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1055.467612,70355.26366
309,301B,789814,HHEA,301B_HHEA,B,301B,"Montauk fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,974,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1004.49519,66072.65034
310,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,2087.761278,74829.255
311,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,2434.911482,132807.2529
312,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,3024.760031,288343.6867
313,301B,789814,HHEA,301B_HHEA,B,301B,"Montauk fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,974,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1506.267079,63932.39289
314,253A,789783,HHEA,253A_HHEA,A,253A,"Hinckley loamy sand, 0 to 3 percent slopes",Consociation,,864,,,,,,,Farmland of statewide importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1741.263572,166271.8873
315,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1770.78207,52433.60684
316,311B,789931,HHEA,311B_HHEA,B,311B,"Woodbridge fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,432,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,646.6234633,17631.11541
317,315B,789876,HHEA,315B_HHEA,B,315B,"Scituate fine sandy loam, 3 to 8 percent slopes",Consociation,,1269,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,3402.267404,176547.892
318,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1106.906598,40641.6343
319,305C,789830,HHEA,305C_HHEA,C,305C,"Paxton fine sandy loam, 8 to 15 percent slopes",Consociation,,420,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,938.6074138,26307.42025
320,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,477.4248673,10203.98662
321,254A,789799,HHEA,254A_HHEA,A,254A,"Merrimac sandy loam, 0 to 3 percent slopes",Consociation,,491,,,,,,,All areas are prime farmland,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1197.643712,46024.22148
322,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,688.6987813,28702.46475
323,253A,789783,HHEA,253A_HHEA,A,253A,"Hinckley loamy sand, 0 to 3 percent slopes",Consociation,,864,,,,,,,Farmland of statewide importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1268.632428,97236.01118
324,440B,789763,HHEA,440B_HHEA,B,440B,"Gloucester gravelly fine sandy loam, 3 to 8 percent slopes",Consociation,,263,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,619.1718319,23017.41876
325,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,463.7280133,14013.23612
326,260A,789903,HHEA,260A_HHEA,A,260A,"Sudbury fine sandy loam, 0 to 3 percent slopes",Consociation,,1182,,,,,,,All areas are prime farmland,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,2018.591877,87097.08726
327,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,581.1204263,13191.75738
328,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,4834.76303,603161.4522
329,260B,789907,HHEA,260B_HHEA,B,260B,"Sudbury fine sandy loam, 3 to 8 percent slopes",Consociation,,586,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,929.2169497,34132.19255
330,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1410.717221,95901.29277
331,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1710.072841,127555.9282
332,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1043.02915,50302.53732
333,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,3409.20063,246271.9532
334,301B,789814,HHEA,301B_HHEA,B,301B,"Montauk fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,974,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2666.087746,206540.5914
335,421B,789699,HHEA,421B_HHEA,B,421B,"Canton fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,1154,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1395.911601,92466.4564
336,260A,789903,HHEA,260A_HHEA,A,260A,"Sudbury fine sandy loam, 0 to 3 percent slopes",Consociation,,1182,,,,,,,All areas are prime farmland,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,2133.901843,55306.69034
337,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,780.9611103,18019.24942
338,386C,789746,HHEA,386C_HHEA,C,386C,"Essex gravelly fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,658,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1654.937371,139553.7261
339,386C,789746,HHEA,386C_HHEA,C,386C,"Essex gravelly fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,658,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,634.3761637,27350.8701
340,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,901.3064148,44584.11349
341,386C,789746,HHEA,386C_HHEA,C,386C,"Essex gravelly fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,658,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,835.6159361,45597.74612
342,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1593.39937,69588.6973
343,301B,789814,HHEA,301B_HHEA,B,301B,"Montauk fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,974,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,864.3842009,23369.1124
344,301C,789817,HHEA,301C_HHEA,C,301C,"Montauk fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,853,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1054.793467,57339.61389
345,315B,789876,HHEA,315B_HHEA,B,315B,"Scituate fine sandy loam, 3 to 8 percent slopes",Consociation,,1269,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2046.44634,95588.95644
346,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,724.780174,31009.45339
347,421B,789699,HHEA,421B_HHEA,B,421B,"Canton fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,1154,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,745.0394567,41388.63325
348,260B,789907,HHEA,260B_HHEA,B,260B,"Sudbury fine sandy loam, 3 to 8 percent slopes",Consociation,,586,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,433.3165111,11144.71051
349,315B,789876,HHEA,315B_HHEA,B,315B,"Scituate fine sandy loam, 3 to 8 percent slopes",Consociation,,1269,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1180.473843,36392.46951
350,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,898.1461822,41943.28946
351,255B,789923,HHEA,255B_HHEA,B,255B,"Windsor loamy sand, 3 to 8 percent slopes",Consociation,,1170,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,267.2922365,4381.918881
352,260B,789907,HHEA,260B_HHEA,B,260B,"Sudbury fine sandy loam, 3 to 8 percent slopes",Consociation,,586,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,811.4057253,23484.88238
353,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,7641.26163,657872.2312
354,260B,789907,HHEA,260B_HHEA,B,260B,"Sudbury fine sandy loam, 3 to 8 percent slopes",Consociation,,586,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1930.095636,66208.08798
355,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,555.6188769,15495.37481
356,421B,789699,HHEA,421B_HHEA,B,421B,"Canton fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,1154,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,3384.702837,213003.0197
357,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,554.7714557,19793.81417
358,301B,789814,HHEA,301B_HHEA,B,301B,"Montauk fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,974,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1815.69303,83064.29872
359,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1479.07641,71713.34655
360,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1324.640681,78601.17598
361,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,671.4912956,23404.21796
362,386B,789743,HHEA,386B_HHEA,B,386B,"Essex gravelly fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,908,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2813.561512,131372.2359
363,305B,789828,HHEA,305B_HHEA,B,305B,"Paxton fine sandy loam, 3 to 8 percent slopes",Consociation,,346,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,4074.105723,218487.0849
364,386C,789746,HHEA,386C_HHEA,C,386C,"Essex gravelly fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,658,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1888.581396,85045.76967
365,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,620.227542,9665.011393
366,315B,789876,HHEA,315B_HHEA,B,315B,"Scituate fine sandy loam, 3 to 8 percent slopes",Consociation,,1269,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1030.851156,39373.59487
367,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,4070.133521,212857.5956
368,315B,789876,HHEA,315B_HHEA,B,315B,"Scituate fine sandy loam, 3 to 8 percent slopes",Consociation,,1269,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,4976.017985,324986.2338
369,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,986.9149513,32058.22373
370,260A,789903,HHEA,260A_HHEA,A,260A,"Sudbury fine sandy loam, 0 to 3 percent slopes",Consociation,,1182,,,,,,,All areas are prime farmland,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,599.4466479,22670.79949
371,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,2113.708387,183777.3641
372,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,714.0319086,21061.44752
373,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,791.1877207,24347.79421
374,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,753.5155286,22636.14938
375,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1418.776671,102762.725
376,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,3612.369016,199927.397
377,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,949.9018679,50986.80184
378,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2300.659057,106284.6171
379,301B,789814,HHEA,301B_HHEA,B,301B,"Montauk fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,974,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2865.830343,184538.3725
380,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1004.936323,46453.2444
381,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,852.5763228,27779.96991
382,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,771.2313207,24032.12718
383,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,588.3392302,21697.16211
